qbf020,125,125,108,125,125
qbf040,366,366,331,366,366
qbf060,500,508,500,508,508
qbf080,851,851,787,851,851
qbf100,1263,1263,1263,1263,1263
qbf200,4122,4122,4028,4122,4122
qbf400,11903.4,11901.1,11695.6,11922.8,11905.1
